time,x,y,z
3.569,0.45,-0.43,0.91
3.573,0.54,-0.46,0.92
3.574,0.63,-0.48,0.89
3.574,0.67,-0.45,1.03
3.575,0.74,-0.36,1.29
3.576,0.72,-0.25,1.34
3.576,0.71,-0.19,1.27
3.581,0.67,-0.17,1.16
3.581,0.64,-0.11,0.89
3.582,0.72,0.06,0.50
3.583,0.74,0.20,0.16
3.583,0.67,0.34,-0.18
3.586,0.60,0.44,-0.47
3.588,0.54,0.53,-0.66
3.593,0.58,0.52,-0.91
3.598,0.62,0.50,-1.03
3.603,0.56,0.51,-1.05
3.607,0.49,0.30,-0.96
3.612,0.30,0.08,-0.72
3.620,0.02,-0.21,-0.25
3.624,-0.37,-0.59,0.19
3.627,-0.69,-0.90,0.73
3.633,-0.87,-1.25,1.24
3.637,-0.80,-1.55,1.75
3.642,-0.80,-1.88,2.17
3.649,-0.47,-2.11,2.49
3.653,-0.18,-2.31,2.91
3.657,0.26,-2.32,2.85
3.662,0.66,-2.29,2.59
3.668,0.98,-2.20,2.22
3.672,1.19,-2.02,1.70
3.677,1.39,-1.70,1.20
3.683,1.39,-1.44,0.51
3.688,1.45,-1.24,-0.07
3.692,1.29,-1.06,-0.33
3.698,1.20,-0.75,-0.67
3.704,1.09,-0.63,-0.88
3.709,0.93,-0.46,-1.12
3.713,1.10,0.08,-1.25
3.718,0.33,-0.51,-1.52
3.723,0.36,-0.55,-1.59
3.728,0.47,-0.36,-1.23
3.733,0.54,-0.42,-0.87
3.738,0.57,-0.59,-0.56
3.743,0.48,-0.72,-0.13
3.748,0.40,-0.86,0.24
3.753,0.42,-1.00,0.66
3.758,0.56,-1.18,0.91
3.763,0.48,-1.24,1.09
3.768,0.28,-1.27,1.12
3.773,0.11,-1.35,1.06
3.778,0.01,-1.36,0.92
3.783,-0.14,-1.35,0.84
3.788,-0.19,-1.19,0.64
3.793,-0.30,-1.11,0.32
3.798,-0.39,-0.97,-0.15
3.803,-0.42,-0.95,-0.73
3.808,-0.39,-0.77,-1.21
3.813,-0.34,-0.56,-1.50
3.818,-0.21,-0.35,-1.72
3.823,-0.14,-0.17,-1.88
3.828,0.00,0.01,-1.90
3.833,0.12,0.12,-1.92
3.838,0.24,0.21,-1.77
3.843,0.33,0.30,-1.77
3.848,0.39,0.38,-1.63
3.854,0.47,0.45,-1.46
3.858,0.53,0.54,-1.15
3.863,0.61,0.50,-0.99
3.874,0.71,0.50,-0.88
3.875,0.73,0.47,-0.75
3.878,0.84,0.44,-0.72
3.883,0.85,0.40,-0.73
3.888,0.81,0.41,-0.66
3.893,0.78,0.37,-0.60
3.898,0.72,0.34,-0.70
3.904,0.61,0.29,-0.77
3.909,0.50,0.30,-0.93
3.913,0.42,0.28,-0.98
3.918,0.42,0.24,-0.86
3.923,0.34,0.22,-0.80
3.928,0.33,0.15,-0.76
3.933,0.28,0.13,-0.72
3.939,0.34,0.04,-0.62
3.943,0.28,0.05,-0.46
3.949,0.20,-0.10,-0.25
3.954,0.07,-0.23,0.15
3.958,0.00,-0.30,0.40
3.964,-0.11,-0.31,0.55
3.969,-0.18,-0.41,0.76
3.974,-0.24,-0.42,0.86
3.979,-0.27,-0.41,0.95
